Timestamp,Viewer Count
2023-03-14 22:54:36,0
2023-03-14 22:56:36,1238
2023-03-14 22:58:37,1238
2023-03-14 23:00:37,5249
2023-03-14 23:02:38,6807
2023-03-14 23:04:38,6807
2023-03-14 23:06:39,6807
2023-03-14 23:08:39,8640
2023-03-14 23:10:40,8640
2023-03-14 23:12:41,10024
2023-03-14 23:14:41,10024
2023-03-14 23:16:41,10597
2023-03-14 23:18:42,10597
2023-03-14 23:20:42,10830
2023-03-14 23:22:43,10830
2023-03-14 23:24:43,11248
2023-03-14 23:26:43,11248
2023-03-14 23:28:44,11843
2023-03-14 23:30:44,11843
2023-03-14 23:32:45,12286
2023-03-14 23:34:45,12286
2023-03-14 23:36:45,12425
2023-03-14 23:38:46,12425
2023-03-14 23:40:46,12425
2023-03-14 23:42:47,12197
2023-03-14 23:44:47,12197
2023-03-14 23:46:47,11644
2023-03-14 23:48:48,11644
2023-03-14 23:50:48,11644
2023-03-14 23:52:48,10941
2023-03-14 23:54:49,10941
2023-03-14 23:56:49,10941
2023-03-14 23:58:50,10738
2023-03-15 00:00:50,10738
2023-03-15 00:02:51,10391
2023-03-15 00:04:51,10391
2023-03-15 00:06:51,11093
2023-03-15 00:08:52,11266
2023-03-15 00:10:52,11266
2023-03-15 00:12:53,11455
2023-03-15 00:14:53,11455
2023-03-15 00:16:53,11086
2023-03-15 00:18:54,11086
2023-03-15 00:20:54,11977
2023-03-15 00:22:55,11977
2023-03-15 00:24:55,11977
2023-03-15 00:26:56,11409
2023-03-15 00:28:56,11409
2023-03-15 00:30:56,10945
2023-03-15 00:32:57,10945
2023-03-15 00:34:57,10945
2023-03-15 00:36:58,10945
2023-03-15 00:38:58,11104
2023-03-15 00:40:58,10819
2023-03-15 00:42:59,10819
2023-03-15 00:44:59,10819
2023-03-15 00:47:00,10819
2023-03-15 00:49:00,11009
2023-03-15 00:51:00,11009
2023-03-15 00:53:01,10849
2023-03-15 00:55:01,10849
2023-03-15 00:57:01,10849
2023-03-15 00:59:01,11034
2023-03-15 01:01:02,11034
2023-03-15 01:03:02,10700
2023-03-15 01:05:02,10700
2023-03-15 01:07:03,10938
2023-03-15 01:09:03,10938
2023-03-15 01:11:04,10638
2023-03-15 01:13:04,11132
2023-03-15 01:15:04,11132
2023-03-15 01:17:05,11132
2023-03-15 01:19:05,10716
2023-03-15 01:21:06,10897
2023-03-15 01:23:06,10897
2023-03-15 01:25:06,10897
2023-03-15 01:27:07,11383
2023-03-15 01:29:07,11383
2023-03-15 01:31:07,10217
2023-03-15 01:33:08,10217
2023-03-15 01:35:08,10217
2023-03-15 01:37:08,10367
2023-03-15 01:39:09,10367
2023-03-15 01:41:09,10126
2023-03-15 01:43:09,10126
2023-03-15 01:45:10,9840
2023-03-15 01:47:10,9840
2023-03-15 01:49:10,9840
2023-03-15 01:51:11,9840
2023-03-15 01:53:11,9700
2023-03-15 01:55:11,9700
2023-03-15 01:57:11,9421
2023-03-15 01:59:12,9421
2023-03-15 02:01:12,9588
2023-03-15 02:03:12,9769
2023-03-15 02:05:13,9769
2023-03-15 02:07:13,9769
2023-03-15 02:09:13,9516
2023-03-15 02:11:14,9516
2023-03-15 02:13:14,9331
2023-03-15 02:15:14,9331
2023-03-15 02:17:15,9331
